With Spaces No Crossing:                             
                                
 а б в г д е ж з и й к л м н о п р с т у ф х ц ч ш щ ы ь э ю я 
я 0 2E-05 0,00038 0,00013 0,00041 0,00025 0,00016 0,00027 3E-05 2E-05 0,0003 0,00052 0,00057 0,00065 0 6E-05 0,00013 0,0005 0,00138 0 0 0,00026 4E-05 0,00013 2E-05 0,00034 0 0 0 0,00018 0,00012 0,00983
 0,00245 0,00623 0,0156 0,00374 0,00617 0,00307 0,00173 0,00377 0,01001 2E-05 0,01085 0,00255 0,00644 0,01404 0,0097 0,01559 0,00395 0,01522 0,00768 0,00368 0,00093 0,00106 0,00051 0,00439 0,0009 7E-05 0 0 0,0026 0,00014 0,00155 0
                                
                                
Without Spaces No Crossing:                             
                                
 а б в г д е ж з и й к л м н о п р с т у ф х ц ч ш щ ы ь э ю я 
а 0,00029 0,00203 0,00566 0,00129 0,00273 0,00216 0,00141 0,00354 0,00161 0,00087 0,00647 0,00676 0,00509 0,00771 0,00103 0,00288 0,00333 0,00547 0,00575 0,00045 0,00032 0,00179 0,0003 0,00152 1 0,00028 0 0 0,00035 0,00137 0,00257 
б 0,0009 0,00023 8E-05 1E-05 2E-05 0,0031 3E-05 1E-05 0,00128 0 0,00017 0,00143 4E-05 0,00054 0,00375 3E-05 0,00149 0,00031 3E-05 0,00118 0 7E-05 4E-05 1E-05 4E-05 0,00023 0,00346 0,00019 8E-05 0 0,00041 
в 0,00647 0,00034 0,00068 0,00031 0,00063 0,0068 9E-05 0,00062 0,00425 0 0,00096 0,00133 0,0005 0,00216 0,0087 0,00112 0,00126 0,00395 0,00095 0,00089 3E-05 7E-05 7E-05 0,00022 0,00093 2E-05 0,00286 0,00015 0,0003 4E-05 0,00047 
г 0,00159 7E-05 0,00012 8E-05 0,00137 0,00039 0 3E-05 0,00123 0 0,00017 0,0017 4E-05 0,00052 0,00932 9E-05 0,00131 0,00013 6E-05 0,00072 2E-05 1E-05 0 3E-05 2E-05 0 0 0 1E-05 0 1E-05 
д 0,00499 0,00013 0,00103 8E-05 9E-05 0,00486 0,00017 0,0001 0,00316 0 0,00047 0,00093 0,00016 0,00276 0,00399 0,00023 0,00121 0,00069 0,00025 0,00193 3E-05 7E-05 0,00028 0,00011 6E-05 0 0,0009 0,0006 7E-05 4E-05 0,0004 
е 0,00052 0,00212 0,00377 0,00453 0,00441 0,00159 0,00122 0,00191 0,00147 0,00239 0,00289 0,00743 0,00578 0,00998 0,00162 0,00344 0,00785 0,0078 0,00703 0,00076 0,0001 0,00067 0,0005 0,00187 0,00078 0,00083 0 0 0,00035 0,00013 0,00033 
ж 0,00108 4E-05 2E-05 1E-05 0,00097 0,00365 1E-05 0 0,0017 0 7E-05 1E-05 3E-05 0,00112 0,0001 1E-05 2E-05 2E-05 2E-05 0,0002 0 0 0 1E-05 0 0 0 6E-05 1E-05 0 1E-05 
